file,bugChurn,rank
org.apache.accumulo.core.client.mapreduce.lib.impl.InputConfigurator_java,807,1
org.apache.accumulo.core.client.mapreduce.lib.util.InputConfigurator_java,531,2
org.apache.accumulo.core.client.mapreduce.lib.impl.ConfiguratorBase_java,382,3
org.apache.accumulo.core.client.mapreduce.lib.util.ConfiguratorBase_java,248,4
org.apache.accumulo.tserver.log.DfsLogger_java,224,5
org.apache.accumulo.core.client.mapreduce.lib.impl.OutputConfigurator_java,204,6
org.apache.accumulo.core.client.mapreduce.lib.impl.FileOutputConfigurator_java,187,7
org.apache.accumulo.tserver.tablet.Tablet_java,183,8
org.apache.accumulo.core.data.Value_java,182,9
org.apache.accumulo.master.tableOps.BulkImport_java,181,10
org.apache.accumulo.minicluster.MiniAccumuloCluster_java,177,11
org.apache.accumulo.core.replication.thrift.ReplicationServicer_java,160,12
org.apache.accumulo.core.client.mapreduce.InputFormatBase_java,120,13
org.apache.accumulo.server.util.FindOfflineTablets_java,118,14
org.apache.accumulo.core.client.BatchWriterConfig_java,107,15
org.apache.accumulo.core.client.impl.TabletServerBatchWriter_java,103,16
org.apache.accumulo.core.iterators.Combiner_java,98,17
org.apache.accumulo.master.util.TableValidators_java,97,18
org.apache.accumulo.server.master.balancer.TabletBalancer_java,91,19
org.apache.accumulo.monitor.servlets.ScanServlet_java,90,20
org.apache.accumulo.core.client.mapreduce.lib.util.OutputConfigurator_java,90,20
org.apache.accumulo.monitor.servlets.ReplicationServlet_java,87,22
org.apache.accumulo.master.Master_java,85,23
org.apache.accumulo.server.util.MetadataTableUtil_java,84,24
org.apache.accumulo.minicluster.impl.MiniAccumuloClusterImpl_java,84,24
org.apache.accumulo.server.conf.TableConfiguration_java,84,24
org.apache.accumulo.core.client.mapreduce.lib.util.FileOutputConfigurator_java,83,27
org.apache.accumulo.core.client.impl.Tables_java,82,28
org.apache.accumulo.core.util.Stat_java,82,28
org.apache.accumulo.core.replication.thrift.ReplicationCoordinator_java,80,30
org.apache.accumulo.server.fs.VolumeManagerImpl_java,79,31
org.apache.accumulo.tserver.tablet.CountingIterator_java,78,32
org.apache.accumulo.core.util.Base64_java,75,33
org.apache.accumulo.server.security.SystemCredentials_java,74,34
org.apache.accumulo.monitor.Monitor_java,68,35
org.apache.accumulo.server.log.SortedLogState_java,66,36
org.apache.accumulo.core.security.ColumnVisibility_java,66,36
org.apache.accumulo.tserver.replication.BatchWriterReplicationReplayer_java,65,38
org.apache.accumulo.tserver.tablet.Compactor_java,65,38
org.apache.accumulo.core.client.mapreduce.RangeInputSplit_java,63,40
org.apache.accumulo.start.classloader.vfs.AccumuloVFSClassLoader_java,58,41
org.apache.accumulo.tserver.replication.AccumuloReplicaSystem_java,55,42
org.apache.accumulo.fate.zookeeper.ZooLock_java,53,43
org.apache.accumulo.core.cli.MapReduceClientOnRequiredTable_java,53,43
org.apache.accumulo.core.client.mapreduce.lib.impl.DistributedCacheHelper_java,52,45
org.apache.accumulo.core.cli.MapReduceClientOnDefaultTable_java,49,46
org.apache.accumulo.tserver.tablet.ScanOptions_java,49,46
org.apache.accumulo.core.client.impl.ThriftScanner_java,48,48
org.apache.accumulo.server.Accumulo_java,47,49
org.apache.accumulo.master.FateServiceHandler_java,47,49
org.apache.accumulo.server.replication.ZooKeeperInitialization_java,46,51
org.apache.accumulo.fate.ZooStore_java,44,52
org.apache.accumulo.server.conf.ZooCachePropertyAccessor_java,44,52
org.apache.accumulo.core.client.mapreduce.AccumuloOutputFormat_java,44,52
org.apache.accumulo.server.security.SecurityOperation_java,41,55
org.apache.accumulo.server.master.balancer.DefaultLoadBalancer_java,40,56
org.apache.accumulo.core.client.mapred.InputFormatBase_java,39,57
org.apache.accumulo.core.conf.Property_java,36,58
org.apache.accumulo.tserver.log.LogSorter_java,36,58
org.apache.accumulo.tserver.TabletServer_java,36,58
org.apache.accumulo.core.cli.ClientOnRequiredTable_java,35,61
org.apache.accumulo.core.client.mapreduce.lib.impl.package-info_java,34,62
org.apache.accumulo.tserver.compaction.CompactionPlan_java,32,63
org.apache.accumulo.server.conf.ZooConfiguration_java,32,63
org.apache.accumulo.core.cli.MapReduceClientOpts_java,32,63
org.apache.accumulo.server.init.Initialize_java,30,66
org.apache.accumulo.core.client.mapreduce.AbstractInputFormat_java,30,66
org.apache.accumulo.server.conf.NamespaceConfiguration_java,30,66
org.apache.accumulo.core.cli.ClientOnDefaultTable_java,30,66
org.apache.accumulo.tserver.log.TabletServerLogger_java,30,66
org.apache.accumulo.server.client.ClientServiceHandler_java,28,71
org.apache.accumulo.core.client.impl.OfflineScanner_java,28,71
org.apache.accumulo.tserver.tablet.Scanner_java,27,73
org.apache.accumulo.core.client.mapred.AbstractInputFormat_java,27,73
org.apache.accumulo.tserver.tablet.Batch_java,26,75
org.apache.accumulo.minicluster.MiniAccumuloRunner_java,25,76
org.apache.accumulo.tserver.tablet.DatafileManager_java,25,76
org.apache.accumulo.core.data.KeyValue_java,24,78
org.apache.accumulo.core.client.mock.MockTableOperations_java,24,78
org.apache.accumulo.master.replication.ReplicationDriver_java,24,78
org.apache.accumulo.core.client.admin.TableOperations_java,23,81
org.apache.accumulo.core.client.MutationsRejectedException_java,23,81
org.apache.accumulo.core.iterators.system.SourceSwitchingIterator_java,22,83
org.apache.accumulo.core.file.BloomFilterLayer_java,21,84
org.apache.accumulo.core.client.impl.ConditionalWriterImpl_java,21,84
org.apache.accumulo.core.security.crypto.BlockedOutputStream_java,17,86
org.apache.accumulo.server.master.balancer.ChaoticLoadBalancer_java,17,86
org.apache.accumulo.gc.GarbageCollectionAlgorithm_java,17,86
org.apache.accumulo.fate.zookeeper.ZooSession_java,17,86
org.apache.accumulo.core.security.crypto.NoFlushOutputStream_java,16,90
org.apache.accumulo.core.client.impl.Writer_java,16,90
org.apache.accumulo.core.iterators.conf.ColumnToClassMapping_java,16,90
org.apache.accumulo.tserver.tablet.CompactionInfo_java,16,90
org.apache.accumulo.tserver.replication.ReplicationServicerHandler_java,15,94
org.apache.accumulo.core.client.mapreduce.lib.util.package-info_java,15,94
org.apache.accumulo.core.util.Merge_java,15,94
org.apache.accumulo.tserver.tablet.ScanBatch_java,14,97
org.apache.accumulo.master.TabletGroupWatcher_java,14,97
org.apache.accumulo.gc.GarbageCollectionEnvironment_java,14,97
org.apache.accumulo.server.conf.ServerConfigurationFactory_java,14,97
org.apache.accumulo.core.client.mapreduce.AccumuloFileOutputFormat_java,14,97
org.apache.accumulo.tserver.logger.LogReader_java,13,102
org.apache.accumulo.server.problems.ProblemReport_java,13,102
org.apache.accumulo.core.data.Mutation_java,13,102
org.apache.accumulo.master.tableOps.TraceRepo_java,13,102
org.apache.accumulo.server.util.ZooZap_java,12,106
org.apache.accumulo.core.conf.SiteConfiguration_java,11,107
org.apache.accumulo.minicluster.impl.MiniAccumuloConfigImpl_java,11,107
org.apache.accumulo.start.Main_java,11,107
org.apache.accumulo.core.client.mapreduce.lib.partition.RangePartitioner_java,11,107
org.apache.accumulo.tserver.tablet.ScanDataSource_java,10,111
org.apache.accumulo.start.classloader.AccumuloClassLoader_java,10,111
org.apache.accumulo.tserver.tablet.MinorCompactionTask_java,9,113
org.apache.accumulo.core.util.Encoding_java,9,113
org.apache.accumulo.server.master.balancer.TableLoadBalancer_java,9,113
org.apache.accumulo.tserver.tablet.MinorCompactor_java,9,113
org.apache.accumulo.server.client.HdfsZooInstance_java,8,117
org.apache.accumulo.core.client.mock.MockTable_java,8,117
org.apache.accumulo.gc.GarbageCollectWriteAheadLogs_java,8,117
org.apache.accumulo.core.cli.ClientOpts_java,8,117
org.apache.accumulo.core.client.mapred.AccumuloOutputFormat_java,8,117
org.apache.accumulo.core.client.AccumuloSecurityException_java,8,117
org.apache.accumulo.core.client.mapreduce.AccumuloInputFormat_java,8,117
org.apache.accumulo.server.master.recovery.RecoveryPath_java,7,124
org.apache.accumulo.core.iterators.user.RegExFilter_java,7,124
org.apache.accumulo.minicluster.impl.ProcessReference_java,7,124
org.apache.accumulo.server.fs.VolumeUtil_java,7,124
org.apache.accumulo.start.classloader.vfs.ContextManager_java,6,128
org.apache.accumulo.core.client.impl.TableOperationsImpl_java,6,128
org.apache.accumulo.tserver.compaction.WriteParameters_java,6,128
org.apache.accumulo.server.client.BulkImporter_java,6,128
org.apache.accumulo.core.iterators.AggregatingIterator_java,6,128
org.apache.accumulo.fate.AdminUtil_java,6,128
org.apache.accumulo.core.util.LocalityGroupUtil_java,6,128
org.apache.accumulo.core.iterators.user.IntersectingIterator_java,6,128
org.apache.accumulo.core.constraints.DefaultKeySizeConstraint_java,6,128
org.apache.accumulo.master.tableOps.Utils_java,6,128
org.apache.accumulo.core.file.rfile.bcfile.BCFile_java,6,128
org.apache.accumulo.shell.commands.SetIterCommand_java,6,128
org.apache.accumulo.core.bloomfilter.BloomFilter_java,5,140
org.apache.accumulo.monitor.servlets.TServersServlet_java,5,140
org.apache.accumulo.gc.SimpleGarbageCollector_java,5,140
org.apache.accumulo.core.util.AddressUtil_java,5,140
org.apache.accumulo.shell.commands.MaxRowCommand_java,5,140
org.apache.accumulo.core.client.mock.MockNamespaceOperations_java,5,140
org.apache.accumulo.trace.thrift.TInfo_java,5,140
org.apache.accumulo.server.util.VerifyTabletAssignments_java,5,140
org.apache.accumulo.core.Constants_java,5,140
org.apache.accumulo.core.iterators.system.LocalityGroupIterator_java,4,149
org.apache.accumulo.core.conf.DefaultConfiguration_java,4,149
org.apache.accumulo.server.util.DumpZookeeper_java,4,149
org.apache.accumulo.server.util.LoginProperties_java,4,149
org.apache.accumulo.start.classloader.vfs.AccumuloReloadingVFSClassLoader_java,4,149
org.apache.accumulo.master.MasterClientServiceHandler_java,4,149
org.apache.accumulo.core.client.mock.MockInstanceOperations_java,4,149
org.apache.accumulo.tracer.TraceServer_java,4,149
org.apache.accumulo.server.master.state.TabletStateChangeIterator_java,4,149
org.apache.accumulo.server.tabletserver.MemoryManager_java,4,149
org.apache.accumulo.server.util.ReplicationTableUtil_java,4,149
org.apache.accumulo.fate.TStore_java,4,149
org.apache.accumulo.start.classloader.vfs.UniqueFileReplicator_java,4,149
org.apache.accumulo.core.client.Instance_java,4,149
org.apache.accumulo.master.replication.DistributedWorkQueueWorkAssigner_java,4,149
org.apache.accumulo.core.volume.VolumeImpl_java,4,149
org.apache.accumulo.core.client.mock.MockAccumulo_java,4,149
org.apache.accumulo.core.security.Authorizations_java,4,149
org.apache.accumulo.tserver.InMemoryMap_java,4,149
org.apache.accumulo.core.client.impl.BatchWriterImpl_java,4,149
org.apache.accumulo.tserver.tablet.TabletCommitter_java,3,169
org.apache.accumulo.core.client.ConditionalWriter_java,3,169
org.apache.accumulo.core.conf.PropertyType_java,3,169
org.apache.accumulo.master.recovery.RecoveryManager_java,3,169
org.apache.accumulo.shell.Shell_java,3,169
org.apache.accumulo.core.replication.AccumuloReplicationReplayer_java,3,169
org.apache.accumulo.core.iterators.aggregation.conf.AggregatorSet_java,3,169
org.apache.accumulo.core.security.crypto.CachingHDFSSecretKeyEncryptionStrategy_java,3,169
org.apache.accumulo.minicluster.MiniAccumuloConfig_java,2,177
org.apache.accumulo.core.security.crypto.CryptoModule_java,2,177
org.apache.accumulo.tserver.TabletServerResourceManager_java,2,177
org.apache.accumulo.core.client.mapreduce.InputTableConfig_java,2,177
org.apache.accumulo.core.util.CreateToken_java,2,177
org.apache.accumulo.core.client.BatchScanner_java,2,177
org.apache.accumulo.core.client.mapred.AccumuloMultiTableInputFormat_java,2,177
org.apache.accumulo.fate.zookeeper.ZooCache_java,2,177
