file,bugChurn,rank
org.apache.accumulo.proxy.thrift.AccumuloProxy_java,9587,1
org.apache.accumulo.core.client.mapreduce.InputFormatBase_java,2477,2
org.apache.accumulo.core.client.impl.thrift.ClientService_java,1272,3
org.apache.accumulo.core.client.mapreduce.AccumuloOutputFormat_java,1248,4
org.apache.accumulo.server.zookeeper.DistributedWorkQueue_java,538,5
org.apache.accumulo.core.client.mapreduce.AccumuloFileOutputFormat_java,417,6
org.apache.accumulo.proxy.thrift.MutationsRejectedException_java,402,7
org.apache.accumulo.server.master.LiveTServerSet_java,253,8
org.apache.accumulo.core.iterators.user.TimestampFilter_java,245,9
org.apache.accumulo.fate.AgeOffStore_java,226,10
org.apache.accumulo.server.constraints.MetadataConstraints_java,205,11
org.apache.accumulo.proxy.ProxyServer_java,166,12
org.apache.accumulo.core.client.mapreduce.lib.util.ConfiguratorBase_java,152,13
org.apache.accumulo.server.zookeeper.ZooLock_java,144,14
org.apache.accumulo.core.security.ColumnVisibility_java,142,15
org.apache.accumulo.core.security.Authorizations_java,136,16
org.apache.accumulo.fate.zookeeper.ZooLock_java,132,17
org.apache.accumulo.fate.SimpleStore_java,126,18
org.apache.accumulo.server.client.BulkImporter_java,123,19
org.apache.accumulo.core.conf.DefaultConfiguration_java,105,20
org.apache.accumulo.core.data.Mutation_java,104,21
org.apache.accumulo.core.file.rfile.RFile_java,104,21
org.apache.accumulo.server.util.PortUtils_java,102,23
org.apache.accumulo.core.client.impl.TabletLocatorImpl_java,100,24
org.apache.accumulo.core.conf.Property_java,93,25
org.apache.accumulo.server.master.recovery.HadoopLogCloser_java,92,26
org.apache.accumulo.core.client.mock.MockTableOperations_java,90,27
org.apache.accumulo.core.iterators.FirstEntryInRowIterator_java,89,28
org.apache.accumulo.core.client.mapred.InputFormatBase_java,84,29
org.apache.accumulo.core.iterators.user.IntersectingIterator_java,80,30
org.apache.accumulo.core.client.admin.TableOperations_java,80,30
org.apache.accumulo.core.client.mock.MockBatchScanner_java,79,32
org.apache.accumulo.server.util.Admin_java,77,33
org.apache.accumulo.core.iterators.user.RegExFilter_java,76,34
org.apache.accumulo.core.client.mapred.AccumuloOutputFormat_java,73,35
