file,bugChurn,rank
org.apache.accumulo.core.master.thrift.MasterClientService_java,1118,1
org.apache.accumulo.core.tabletserver.thrift.TabletClientService_java,1003,2
org.apache.accumulo.core.client.mapreduce.lib.util.InputConfigurator_java,924,3
org.apache.accumulo.fate.zookeeper.ZooUtil_java,609,4
org.apache.accumulo.core.client.mapreduce.lib.util.ConfiguratorBase_java,554,5
org.apache.accumulo.gc.GarbageCollectWriteAheadLogs_java,543,6
org.apache.accumulo.core.client.mapreduce.lib.util.OutputConfigurator_java,392,7
org.apache.accumulo.core.client.mapreduce.lib.util.FileOutputConfigurator_java,340,8
org.apache.accumulo.server.init.Initialize_java,256,9
org.apache.accumulo.server.GarbageCollectionLogger_java,234,10
org.apache.accumulo.tserver.tablet.Tablet_java,193,11
org.apache.accumulo.tserver.TabletServer_java,184,12
org.apache.accumulo.cluster.standalone.StandaloneClusterControl_java,182,13
org.apache.accumulo.server.security.SecurityUtil_java,176,14
org.apache.accumulo.master.tableOps.DeleteTable_java,173,15
org.apache.accumulo.tserver.replication.AccumuloReplicaSystem_java,171,16
org.apache.accumulo.fate.zookeeper.ZooReaderWriter_java,169,17
org.apache.accumulo.gc.replication.CloseWriteAheadLogReferences_java,166,18
org.apache.accumulo.tracer.TraceTableStats_java,157,19
org.apache.accumulo.fate.zookeeper.ZooReader_java,155,20
org.apache.accumulo.server.master.state.TabletStateChangeIterator_java,144,21
org.apache.accumulo.monitor.servlets.trace.ShowTrace_java,120,22
org.apache.accumulo.server.conf.ServerConfigurationFactory_java,115,23
org.apache.accumulo.master.Master_java,114,24
org.apache.accumulo.server.master.balancer.GroupBalancer_java,111,25
org.apache.accumulo.start.classloader.vfs.AccumuloReloadingVFSClassLoader_java,111,25
org.apache.accumulo.monitor.servlets.trace.Basic_java,105,27
org.apache.accumulo.core.client.ClientConfiguration_java,103,28
org.apache.accumulo.core.tabletserver.thrift.ActiveScan_java,102,29
org.apache.accumulo.core.data.impl.TabletIdImpl_java,100,30
org.apache.accumulo.core.client.mapreduce.AbstractInputFormat_java,98,31
org.apache.accumulo.gc.SimpleGarbageCollector_java,95,32
org.apache.accumulo.minicluster.impl.MiniAccumuloClusterImpl_java,95,32
org.apache.accumulo.core.iterators.system.SourceSwitchingIterator_java,89,34
org.apache.accumulo.tserver.log.TabletServerLogger_java,84,35
org.apache.accumulo.trace.thrift.TInfo_java,82,36
org.apache.accumulo.core.client.mapred.AbstractInputFormat_java,77,37
org.apache.accumulo.core.client.impl.TableOperationsImpl_java,76,38
org.apache.accumulo.core.data.KeyValue_java,72,39
org.apache.accumulo.server.security.handler.ZKPermHandler_java,71,40
org.apache.accumulo.server.rpc.TServerUtils_java,69,41
org.apache.accumulo.master.tableOps.ImportTable_java,65,42
org.apache.accumulo.core.data.Mutation_java,65,42
org.apache.accumulo.core.client.mapreduce.impl.SplitUtils_java,59,44
org.apache.accumulo.tracer.ZooTraceClient_java,58,45
org.apache.accumulo.server.master.LiveTServerSet_java,57,46
org.apache.accumulo.monitor.Monitor_java,56,47
org.apache.accumulo.master.tserverOps.ShutdownTServer_java,54,48
org.apache.accumulo.core.client.mapreduce.AccumuloOutputFormat_java,53,49
org.apache.accumulo.core.conf.CredentialProviderFactoryShim_java,52,50
org.apache.accumulo.minicluster.impl.MiniAccumuloClusterControl_java,52,50
org.apache.accumulo.cluster.standalone.StandaloneAccumuloCluster_java,51,52
org.apache.accumulo.core.iterators.LongCombiner_java,48,53
org.apache.accumulo.server.util.Admin_java,47,54
org.apache.accumulo.monitor.util.celltypes.PreciseNumberType_java,46,55
org.apache.accumulo.server.zookeeper.ZooReaderWriter_java,45,56
org.apache.accumulo.shell.Shell_java,45,56
org.apache.accumulo.core.client.mapreduce.lib.util.package-info_java,44,58
org.apache.accumulo.tracer.AsyncSpanReceiver_java,44,58
org.apache.accumulo.core.cli.ClientOpts_java,44,58
org.apache.accumulo.server.tabletserver.LargestFirstMemoryManager_java,43,61
org.apache.accumulo.server.replication.ReplicaSystemFactory_java,43,61
org.apache.accumulo.fate.zookeeper.ZooSession_java,42,63
org.apache.accumulo.server.security.handler.ZKAuthenticator_java,42,63
org.apache.accumulo.fate.zookeeper.IZooReaderWriter_java,39,65
org.apache.accumulo.tserver.FileManager_java,39,65
org.apache.accumulo.core.client.mapreduce.lib.impl.ConfiguratorBase_java,38,67
org.apache.accumulo.core.conf.Property_java,36,68
org.apache.accumulo.tracer.TraceServer_java,36,68
org.apache.accumulo.core.client.mapreduce.RangeInputSplit_java,36,68
org.apache.accumulo.tserver.log.DfsLogger_java,35,71
org.apache.accumulo.server.util.TableDiskUsage_java,35,71
org.apache.accumulo.monitor.servlets.trace.Summary_java,34,73
org.apache.accumulo.core.client.mapred.AccumuloOutputFormat_java,34,73
org.apache.accumulo.master.tableOps.CancelCompactions_java,34,73
org.apache.accumulo.monitor.servlets.BasicServlet_java,34,73
org.apache.accumulo.server.util.MetadataTableUtil_java,33,77
org.apache.accumulo.core.iterators.user.SummingArrayCombiner_java,32,78
