file,bugChurn,rank
org.apache.accumulo.core.client.ClientConfiguration_java,1805,1
org.apache.accumulo.tserver.replication.AccumuloReplicaSystem_java,613,2
org.apache.accumulo.core.conf.Property_java,409,3
org.apache.accumulo.tserver.TabletServer_java,358,4
org.apache.accumulo.server.security.AuditedSecurityOperation_java,357,5
org.apache.accumulo.fate.util.Retry_java,357,5
org.apache.accumulo.gc.GarbageCollectWriteAheadLogs_java,329,7
org.apache.accumulo.core.client.impl.Tables_java,297,8
org.apache.accumulo.tserver.session.SessionManager_java,296,9
org.apache.accumulo.fate.zookeeper.ZooCache_java,269,10
org.apache.accumulo.tserver.log.TabletServerLogger_java,218,11
org.apache.accumulo.core.client.impl.TableMap_java,200,12
org.apache.accumulo.core.conf.AccumuloConfiguration_java,189,13
org.apache.accumulo.fate.AdminUtil_java,180,14
org.apache.accumulo.server.rpc.TServerUtils_java,160,15
org.apache.accumulo.core.client.impl.MultiTableBatchWriterImpl_java,158,16
org.apache.accumulo.master.Master_java,151,17
org.apache.accumulo.tracer.TraceServer_java,149,18
org.apache.accumulo.core.file.rfile.bcfile.BCFile_java,148,19
org.apache.accumulo.core.rpc.TTimeoutTransport_java,146,20
org.apache.accumulo.shell.Shell_java,142,21
org.apache.accumulo.tserver.log.LogSorter_java,136,22
org.apache.accumulo.server.security.SecurityUtil_java,124,23
org.apache.accumulo.start.classloader.vfs.ContextManager_java,122,24
org.apache.accumulo.shell.commands.ScanCommand_java,121,25
org.apache.accumulo.core.util.format.FormatterConfig_java,115,26
org.apache.accumulo.core.client.impl.SyncingTabletLocator_java,115,26
org.apache.accumulo.monitor.Monitor_java,115,26
org.apache.accumulo.start.Main_java,114,29
org.apache.accumulo.core.file.rfile.RollingStats_java,113,30
org.apache.accumulo.core.util.format.DefaultFormatter_java,103,31
org.apache.accumulo.shell.commands.SetIterCommand_java,100,32
org.apache.accumulo.server.security.UserImpersonation_java,98,33
org.apache.accumulo.server.master.balancer.HostRegexTableLoadBalancer_java,98,33
org.apache.accumulo.core.util.format.DateFormatSupplier_java,95,35
org.apache.accumulo.core.iterators.Combiner_java,95,35
org.apache.accumulo.tserver.logger.LogReader_java,86,37
org.apache.accumulo.tserver.NativeMap_java,85,38
org.apache.accumulo.core.rpc.ThriftUtil_java,85,38
org.apache.accumulo.master.replication.StatusMaker_java,80,40
org.apache.accumulo.tserver.FileManager_java,74,41
org.apache.accumulo.server.util.ChangeSecret_java,73,42
org.apache.accumulo.shell.commands.GrepCommand_java,73,42
org.apache.accumulo.core.conf.SiteConfiguration_java,71,44
org.apache.accumulo.core.conf.PropertyType_java,67,45
org.apache.accumulo.server.metrics.MetricsConfiguration_java,67,45
org.apache.accumulo.core.client.impl.TableOperationsImpl_java,66,47
org.apache.accumulo.tserver.compaction.strategies.ConfigurableCompactionStrategy_java,64,48
org.apache.accumulo.server.rpc.CustomNonBlockingServer_java,63,49
org.apache.accumulo.core.security.VisibilityEvaluator_java,62,50
org.apache.accumulo.fate.util.UtilWaitThread_java,62,50
org.apache.accumulo.server.util.FileSystemMonitor_java,61,52
org.apache.accumulo.core.security.crypto.NonCachingSecretKeyEncryptionStrategy_java,61,52
org.apache.accumulo.core.util.format.DateStringFormatter_java,57,54
