file,bugChurn,rank
org.apache.accumulo.tserver.log.SortedLogRecovery_java,15,105
org.apache.accumulo.core.client.impl.OfflineScanner_java,15,105
org.apache.accumulo.core.data.Mutation_java,15,105
org.apache.accumulo.core.file.BloomFilterLayer_java,14,108
org.apache.accumulo.core.cli.Help_java,14,108
org.apache.accumulo.core.client.mock.MockConnector_java,14,108
org.apache.accumulo.server.util.VerifyTabletAssignments_java,14,108
org.apache.accumulo.core.cli.ClientOnRequiredTable_java,13,112
org.apache.accumulo.core.data.Key_java,13,112
org.apache.accumulo.maven.plugin.AbstractAccumuloMojo_java,13,112
org.apache.accumulo.start.classloader.AccumuloClassLoader_java,13,112
org.apache.accumulo.core.client.mock.MockTable_java,12,116
org.apache.accumulo.core.client.impl.ThriftTransportKey_java,12,116
org.apache.accumulo.server.ServerConstants_java,12,116
org.apache.accumulo.core.client.mock.MockTableOperations_java,12,116
org.apache.accumulo.server.security.handler.ZKAuthorizor_java,12,116
org.apache.accumulo.server.master.state.DeadServerList_java,11,121
org.apache.accumulo.core.client.mock.MockConfiguration_java,11,121
org.apache.accumulo.core.client.impl.thrift.TableOperationExceptionType_java,11,121
org.apache.accumulo.core.client.impl.ServerClient_java,11,121
org.apache.accumulo.master.tableOps.ImportTable_java,10,125
org.apache.accumulo.core.file.rfile.SplitLarge_java,10,125
org.apache.accumulo.server.master.state.ZooTabletStateStore_java,10,125
org.apache.accumulo.core.file.FileOperations_java,10,125
org.apache.accumulo.server.tables.TableManager_java,10,125
org.apache.accumulo.monitor.servlets.BasicServlet_java,10,125
org.apache.accumulo.core.file.rfile.bcfile.PrintInfo_java,9,131
org.apache.accumulo.gc.GarbageCollectWriteAheadLogs_java,9,131
org.apache.accumulo.core.conf.ConfigurationCopy_java,9,131
org.apache.accumulo.core.client.impl.Translator_java,9,131
org.apache.accumulo.core.client.mock.MockBatchWriter_java,9,131
org.apache.accumulo.server.util.TabletServerLocks_java,9,131
org.apache.accumulo.server.security.handler.Authorizor_java,8,137
org.apache.accumulo.server.security.SystemCredentials_java,8,137
org.apache.accumulo.server.security.SecurityUtil_java,8,137
org.apache.accumulo.monitor.servlets.OperationServlet_java,8,137
org.apache.accumulo.core.iterators.user.IndexedDocIterator_java,8,137
org.apache.accumulo.core.metadata.MetadataLocationObtainer_java,7,142
org.apache.accumulo.core.zookeeper.ZooUtil_java,7,142
org.apache.accumulo.fate.zookeeper.ZooCache_java,7,142
org.apache.accumulo.core.file.rfile.PrintInfo_java,7,142
org.apache.accumulo.server.metrics.MetricsConfiguration_java,6,146
org.apache.accumulo.core.data.Value_java,6,146
org.apache.accumulo.master.tableOps.DeleteTable_java,6,146
org.apache.accumulo.core.iterators.SortedMapIterator_java,6,146
org.apache.accumulo.core.iterators.DevNull_java,6,146
org.apache.accumulo.proxy.thrift.Key_java,6,146
org.apache.accumulo.server.security.handler.ZKPermHandler_java,6,146
org.apache.accumulo.server.master.state.RootTabletStateStore_java,6,146
org.apache.accumulo.minicluster.impl.MiniAccumuloClusterImpl_java,6,146
org.apache.accumulo.core.client.impl.ConditionalWriterImpl_java,6,146
org.apache.accumulo.monitor.servlets.MasterServlet_java,6,146
org.apache.accumulo.core.file.rfile.RFileOperations_java,6,146
org.apache.accumulo.core.client.mock.MockAccumulo_java,6,146
org.apache.accumulo.monitor.servlets.ProblemServlet_java,6,146
org.apache.accumulo.tserver.logger.LogReader_java,5,160
org.apache.accumulo.fate.zookeeper.IZooReaderWriter_java,5,160
org.apache.accumulo.core.client.admin.TableOperations_java,5,160
org.apache.accumulo.master.tableOps.RenameTable_java,5,160
org.apache.accumulo.server.master.balancer.TableLoadBalancer_java,5,160
org.apache.accumulo.server.conf.NamespaceConfiguration_java,5,160
org.apache.accumulo.server.zookeeper.ZooLock_java,5,160
org.apache.accumulo.server.security.handler.ZKAuthenticator_java,5,160
org.apache.accumulo.minicluster.MiniAccumuloConfig_java,4,168
org.apache.accumulo.server.util.DumpZookeeper_java,4,168
org.apache.accumulo.master.tableOps.CreateTable_java,4,168
org.apache.accumulo.fate.zookeeper.ZooReader_java,4,168
org.apache.accumulo.server.master.state.TabletStateChangeIterator_java,4,168
org.apache.accumulo.core.constraints.Constraint_java,4,168
org.apache.accumulo.master.tableOps.Utils_java,4,168
org.apache.accumulo.core.metadata.MetadataTable_java,4,168
org.apache.accumulo.master.tableOps.TableRangeOp_java,4,168
org.apache.accumulo.core.client.impl.ThriftScanner_java,4,168
org.apache.accumulo.core.metadata.RootTable_java,4,168
org.apache.accumulo.fate.zookeeper.ZooReaderWriter_java,4,168
org.apache.accumulo.core.client.mapreduce.AccumuloFileOutputFormat_java,4,168
org.apache.accumulo.core.client.security.tokens.PasswordToken_java,4,168
org.apache.accumulo.core.iterators.system.VisibilityFilter_java,4,168
org.apache.accumulo.server.master.balancer.DefaultLoadBalancer_java,3,183
org.apache.accumulo.core.file.rfile.CreateCompatTestFile_java,3,183
org.apache.accumulo.master.tableOps.RenameNamespace_java,3,183
org.apache.accumulo.server.master.state.MetaDataStateStore_java,3,183
org.apache.accumulo.server.master.state.TabletStateStore_java,3,183
org.apache.accumulo.core.client.AccumuloSecurityException_java,3,183
org.apache.accumulo.core.security.crypto.CachingHDFSSecretKeyEncryptionStrategy_java,3,183
org.apache.accumulo.master.state.SetGoalState_java,3,183
org.apache.accumulo.core.security.Authorizations_java,3,183
org.apache.accumulo.master.tableOps.ChangeTableState_java,2,192
org.apache.accumulo.server.zookeeper.DistributedWorkQueue_java,2,192
org.apache.accumulo.core.util.NumUtil_java,2,192
org.apache.accumulo.minicluster.MiniAccumuloRunner_java,2,192
org.apache.accumulo.tracer.TraceServer_java,2,192
org.apache.accumulo.core.client.impl.Writer_java,2,192
org.apache.accumulo.tserver.TabletIteratorEnvironment_java,2,192
org.apache.accumulo.core.client.admin.NamespaceOperations_java,2,192
org.apache.accumulo.master.tableOps.ExportTable_java,2,192
org.apache.accumulo.core.iterators.user.IntersectingIterator_java,2,192
org.apache.accumulo.master.tableOps.CancelCompactions_java,2,192
org.apache.accumulo.core.client.impl.ScannerIterator_java,2,192
org.apache.accumulo.core.client.mapred.AccumuloInputFormat_java,2,192
org.apache.accumulo.monitor.ZooKeeperStatus_java,2,192
org.apache.accumulo.core.util.Merge_java,2,192
org.apache.accumulo.core.client.mapreduce.AccumuloMultiTableInputFormat_java,2,192
org.apache.accumulo.core.security.VisibilityConstraint_java,2,192
org.apache.accumulo.server.metrics.AbstractMetricsImpl_java,1,209
